Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients,Image,Recipe,Recipe_Images,Preference,Allergies,Dish_type
Жареный рис с яйцом и овощами,146.9 кКал,5.7 г,5.5 г,18.8 г,"Рис белый, крупа рисовая (Варка со сливом рассыпчатая): 206 г; Подсолнечное масло: 16.74 г; Морковь (Жарка): 70 г; Лук репчатый (Жарка): 65 г; Чеснок (Жарка): 6 г; Перец чили красный острый (Жарка): 28 г; Яйцо куриное (Жарка): 240 г; Соль поваренная пищевая: 0.5 г; Вода: 400 г; Имбирь, крень сушеный молотый: 2 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/629932," 1. Стакан риса промыть и отправить в мультиварку на 30-40 минут в режиме ""Рис/крупа"" ;  2. Овощи нарезать произвольно, обжарить в подсолнечном масле, добавить имбирь (свежий или молотый, по вкусу) пока готовится рис, слегка потушить ;  3. Готовый рис добавить в сковородку с овощами, перемешать, добавить 4 яйца, довести до готовности (пока не схватится белок и не рис не станет слегка румяным)  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/629931; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/629933; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/629934; https://health-diet.ru/people/user/559103/blog/344853/#comments,Азиатская Кухня; Овощные блюда; Обычное блюдо,Нет аллергенов,Обед; Ужин
Котлеты куриные,120.8 кКал,18.1 г,3.3 г,4.6 г,"Куриная грудка (филе) (Жарка): 450 г; Картофель (Жарка): 72 г; Лук репчатый (Жарка): 80 г; Морковь (Жарка): 25 г; Яйцо куриное (Жарка): 55 г; Соль поваренная пищевая: 0.5 г; Чеснок, порошок: 1 г; Укроп, сушеный: 3 г; Орегано, сушеный: 1 г; Манная крупа (Жарка): 10 г; Подсолнечное масло: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630106," 1. Куриную грудку нарезать небольшими кусочками ;  2. Лук нарезать как можно мельче ;  3. Морковь и картофель натереть на тёрке. Картофель отжать. Добавить 1 яйцо, соль, манку, укроп, хмели-сунели ;  4. Замесить фарш. Манки много не добавлять. При жарке всё хорошо ""сцепится"" ;  5. Жарить на масле. Выкладывать удобнее ложкой. Т.к. руками котлеты не сформируются. Как поджарится одна сторона, котлеты легко перевернутся ;  6. Жарить каждую сторону примерно 5-8 минут, до готовности ;  7. Приятного аппетита!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630097; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630098; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630099; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630100; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630101; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630103; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630105; https://health-diet.ru/people/user/813639/blog/344902/#comments,Мясные блюда,Нет аллергенов,Обед; Ужин
Шаурма `Озерская`,178.7 кКал,10.3 г,9.4 г,12.4 г,"Хлеб, лаваш, белый, необогащенный: 90 г; Капуста белокочанная: 100 г; Помидор (томат), грунтовый: 40 г; Огурец соленый: 55 г; Курица-гриль, грудка с кожей: 140 г; Майонез «Провансаль», 67% жирности: 50 г; Чеснок: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630189," 1. Смешать майонез с тертым чесноком. Смазать лаваш полученным соусом (использовать половину)                           ;  2. Порезанную курицу-гриль разложить равномерно вдоль смазанного лаваша                           ;  3. Добавить все овощи, равномерно распределить                           ;  4. Сверху положить вторую часть соуса                           ;  5. Скрутить шаурму в плотный рулет                           ;  6. Положить свернутую шаурму в гриль и прогреть 5 минут                            ",https://health-diet.ru/people/user/803432/blog/344936/#comments,Мясные блюда,Глютен; Лактоза,Перекус
Пикша в пикантном маринаде,142.1 кКал,19.3 г,6.1 г,2.3 г,"Пикша (Запекание): 400 г; Сок лимонный: 10 г; Горчица столовая: 10 г; Оливковое масло: 10 г; Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 10 г; Перец черный,  молотый или горошек: 0.5 г; Соль поваренная пищевая: 1 г; Соус чили шрирача: 10 г; Чеснок (Запекание): 6.5 г; Орегано, сушеный: 0.3 г; Чеснок, порошок: 1 г; Базилик, свежий: 1.5 г; Луковый порошок: 2 г; Укроп, сушеный: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630162," 1. Ингредиенты, плиз ;  2. Все составляющие маринада:  базилик орегано чеснок сушеный лук сушеный укроп сушеный черный молотый перец соль оливковое масло сливочное масло соус шрирача лимонный сок горчица русская давленный чеснок  СМЕШАТЬ❗ ;  3.        ;  4.        ;  5. Вот это➡️ (базилик орегано чеснок сушеный лук сушеный укроп сушеный) - легко заменяется итальянскими травами.. Возьмите 5 г. Я так обычно и делаю., просто сегодня хотела без розмарина ;  6. Намазать смесью филе и оставить на час мариноваться ;  7.        ;  8. Затем отправить рыбу в разогретую до 200° духовку и готовить минут 20+.. В конце готовки можно добавить верхний гриль для цвета..  ❗Если используете пергаментную бумагу, то чтобы она не сворачивалась, ее нужно смять.. Рыбе все равно, а нервы, в данном случае мои, целы ;  9.        ;  10. Приятного аппетита!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630164; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630204; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630205; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630206; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630207; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630208; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630209; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630210; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630211; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630214; https://health-diet.ru/people/user/464113/blog/344937/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630354,Острые блюда,Нет аллергенов,Обед; Ужин
Манка с семеном льна и сметаной,705 кКал,8.2 г,70.5 г,4.3 г,Семена льна: 10 г; Сметана 40% жирности: 60 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630451, 1. Загрузить в кастрюлю воду 200 грамм ;  2. Семя льна 10 грамм                            ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630452; https://health-diet.ru/people/user/818892/blog/345015/#comments,Русская Кухня; Кисломолочная продукция,Нет аллергенов,Завтрак
Морской салат,102.1 кКал,12.2 г,4.9 г,2.2 г,Нерка: 60 г; Морская капуста (ламинария) свежая: 10 г; Перец сладкий зеленый: 30 г; Петрушка свежая: 5 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630580, 1. Малосольную рыбу и другие ингредиенты блюда нарезать мелким кубком примерно одинакового размера. Все смешать.  ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630585; https://health-diet.ru/people/user/811455/blog/345064/#comments,Блюда из морепродуктов,Морепродукты,Обед; Ужин
Творожный десерт с ягодами и орехом,132.7 кКал,7.2 г,8 г,6.6 г,Облепиха: 35 г; Брусника: 60 г; Творог 5% жирности: 35 г; Грецкий орех: 12 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630590," 1. Замороженные ягоды совсем немного растопить, орех измельчить и добавить творог. Размешать до однородности.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630591; https://health-diet.ru/people/user/811455/blog/345065/#comments,Кисломолочная продукция; Фруктовые блюда; Сладкие блюда,Орехи,Перекус
"Овсянка с  медом, курагой, семя льна, и зеленью",120.9 кКал,3.8 г,2.9 г,19 г,"Овсяные хлопья ""геркулес"" (Варка без слива вязкая): 60 г; Курага (абрикосы сушеные без косточки): 20 г; Семена льна: 10 г; Лук зеленый (перо) (Варка без слива): 5 г; Вода: 200 г; Мед пчелиный: 5 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630618," 1. Вскипятить 200 г воды засыпать овсянкой четыре штуки кураги и семя льна пропустить через кофемолку. Варить 7 минут. ;  2. Дайте всему остыть немного и в тёплом виде , добавьте туда мёд, температура при этом не должна превышать температура тела. До 40 градусов. Посыпьте зеленью и приятного аппетита                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630619; https://health-diet.ru/people/user/818892/blog/345074/#comments,Сладкие блюда,Нет аллергенов,Завтрак
Мимоза с тунцом,99.5 кКал,8.1 г,3 г,9.7 г,"Огурец грунтовый: 160 г; Морковь: 125 г; Рис белый, крупа рисовая: 80 г; Соевый соус: 10 г; Сметана 15% жирности: 55 г; Горчица столовая: 20 г; Тунец натуральный куски: 200 г; Яйцо куриное вареное вкрутую: 52 г; Вода водопроводная, городская: 100 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630851," 1. Отварите рис, яйцо, морковь. Приготовьте ингридиенты согласно рецепта. ;  2. Приготовьте соус - смешайте горчицу, сметану, соевый соус , в пропорциях, описанных в составе. ;  3. Выложите рис на блюдо. ;  4. Положите на слой риса размятую вилкой консерву из тунца. ;  5. Посыпьте нарезанным луком. ;  6. Полейте соусом.                           ;  7. Положите слой моркови, натертой на терке. ;  8. Затем полейте соусом и выложите слой натертого огурца. ;  9. Чередуйте слои в удобном для вас порядке, поливая соусом. Последний штрих- тёртый на терке желток для украшения блюда. Белок яйца на терке посыпьте на любой слой.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630852; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630854; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630855; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630856; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630857; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630858; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/630859; https://health-diet.ru/people/user/710840/blog/345240/#comments,Блюда из морепродуктов,Нет аллергенов,Завтрак; Перекус
Капуста тушенная с петрушкой,62.9 кКал,2.1 г,3.4 г,5.6 г,"Капуста белокочанная, квашеная (Тушение): 400 г; Лук репчатый (Тушение): 70 г; Морковь (Тушение): 60 г; Чеснок (Тушение): 20 г; Петрушка свежая (Тушение): 20 г; Соль поваренная пищевая: 4 г; Горчичное масло: 15 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631186," 1. Нашинковать овощи, разогреть в сковороде масло.                           ;  2. 5 минут пассеровать лук и морковь в разогретом масле, добавить капусту, перемешать и тушить на слабом огне, периодически перемешивая. При необходимости добавить немного воды.                           ;  3. Через 15 минут добавить чеснок, петрушку, соль, при желании черный молотый перец. Перемешать, тушить ещё 5минут.                            ",https://health-diet.ru/people/user/256897/blog/345259/#comments,Русская Кухня; Овощные блюда,Нет аллергенов,Обед; Ужин
Куриная грудка с болгарским перцем,140.6 кКал,13.9 г,7.3 г,5.1 г,"Куриная грудка (филе) (Тушение): 240 г; Лук репчатый (Тушение): 95 г; Морковь (Тушение): 60 г; Перец сладкий зеленый (Тушение): 100 г; Помидор (томат), парниковый (Тушение): 100 г; Подсолнечное масло: 25 г; Соль поваренная пищевая: 1 г; Чеснок, порошок: 0.5 г; Перец черный,  молотый или горошек: 0.2 г; Укроп, сушеный: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631226," 1. Лук нарезать, морковь натереть. Обжарить на подсолнечном масле ;  2. Добавить болгарский перец. Налить немного воды (потом она выпарится), чтоб овощи немного приготовились. Тушить минут 10 ;  3. Нарезать мелко помидор и добавить к овощам ;  4. Добавляем куриную грудку, солим, перчим. Тушить до готовности курицы примерно 20-30 минут ;  5. Приятного аппетита!)  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631214; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631215; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631216; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631217; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631227; https://health-diet.ru/people/user/813639/blog/345348/#comments,Мясные блюда,Нет аллергенов,Обед; Ужин
Банановые оладьи на соевом изоляте,177.2 кКал,16 г,8.7 г,9.9 г,"Соевый протеиновый изолят: 15 г; Яйцо куриное (Жарка): 50 г; Соль поваренная пищевая: 0.2 г; Подсолнечное масло: 5 г; Банан (Жарка): 85 г; Сода пищевая, разрыхлитель для выпечки: 0.5 г; Уксус столовый 9%: 0.5 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/633142," 1. Яйцо, банан и изолят взбить вместе. Добавить соль и соду гашеную уксусом                           ;  2. Жарить как обычные оладьи. Получаются очень вкусные и сладкие от банана  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/633143,Русская Кухня; Фруктовые блюда; Сладкие блюда,Яйцо,Завтрак
Каша из  овсяной крупы  из цельного зерна  с маком,109.5 кКал,3.8 г,3.9 г,14.7 г,"Соль поваренная пищевая: 1 г; Мак, семя: 10 г; Заменитель сахара Эритрит и стевия: 3 г; Овсяная крупа (Варка без слива вязкая): 45 г; Вода: 300 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631582," 1. Крупа овсяная из цельного зерна. Крупу взвесила, помыла, залила водицей, посолила по вкусу. Дала закипеть, поварила несколько минут на сильном огне и затем варила на слабом огне полтора часа. Мак взвесила, залила водицей, помыла. Мак залила кипяточком и размачивала 2 часа. ;  2. Мак взвесила, залила водицей, помыла. ;  3. Мак залила кипяточком и размачивала 2 часа. ;  4. Размоченный и распаренный мак растерла в ступке по возможности . ;  5. Растёртый мак высыпала в кашу.. ;  6. Всё взбила блендером. Ещё немного поварила. ;  7. Добавила сахаро заменитель по вкусу. ;  8. Каша готова.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631576; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631578; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631580; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631581; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631583; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631584; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631585; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631586; https://health-diet.ru/people/user/683447/blog/345366/#comments,Русская Кухня,Нет аллергенов,Завтрак
Кабачковый тортик,108.2 кКал,4.1 г,4.2 г,13.3 г,"Кабачок (Жарка): 550 г; Яйцо куриное: 100 г; Морковь (Жарка): 100 г; Лук репчатый (Жарка): 75 г; Овсяные хлопья ""геркулес"": 115 г; Сметана 15% жирности: 100 г; Горчица столовая: 4 г; Соевый соус: 10 г; Чеснок (Жарка): 5 г; Томатный соус, консервированный: 15 г; Подсолнечное масло: 2 г; Приправа французкие травы: 8 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631695," 1. Кабачки, морковь натерла на терке. Порезала лук-выложила всё в миску.                           ;  2. Разбила в смесь два яйца, насыпала приправу. Геркулес перемолола на кофемолке. Добавила в смесь. Оставила набухать. Тем временем сделала майонез пп. ;  3. Сметану смешала с горчицей, добавила соевый соус. Насыпала приправу. Выдавила чеснок через чеснокодавку. Томатный соус делала сама на зиму. Можно использовать помидоры. ;  4. Готовое кабачковое тесто выложила на смазанную маслом сковороду. Ложкой разровняла. Тесто - как густая сметана. ;  5. 2-3 минуты пожарила, перевернула. ;  6. Выложила на блюдо и смазала один слой приготовленным майонезом. ;  7. Следующий блин положила и смазала томатным соусом. ;  8. Чередовала слои и смазывала блины. ;  9. Готовый тортик из кабачков поставила на пару часов в холодильник пропитаться.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631696; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631697; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631698; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631699; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631700; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631701; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631702; https://health-diet.ru/people/user/710840/blog/345400/#comments,Овощные блюда,Глютен; Лактоза; Яйцо,Ужин; Перекус
Шампиньоны с   цветной капустой тушёные,55.7 кКал,4 г,2.3 г,4.1 г,"Цветная капуста (Тушение): 100 г; Оливковое масло: 3 г; Лук репчатый (Жарка): 30 г; Морковь (Тушение): 10 г; Помидор (томат), грунтовый (Тушение): 30 г; Соль поваренная пищевая: 1 г; Шампиньоны (Тушение): 128 г; Морская капуста (ламинария) сушеная (Мытьё, нарезка): 0.9 г; Петрушка свежая (Мытьё, нарезка): 3 г; Куркума, молотая: 0.5 г; Паприка, перец сладкий молотый: 0.3 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631903, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.        ;  10.        ;  11.        ;  12.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631888; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631889; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631890; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631891; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631892; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631893; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631894; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631895; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631896; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631897; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631898; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/631901; https://health-diet.ru/people/user/683447/blog/345465/#comments,Овощные блюда,Нет аллергенов,Ужин
«Спагетти» из кабачка,155.3 кКал,4.9 г,13.4 г,3.9 г,"Кабачок (Припускание): 100 г; Чеснок (Жарка): 5 г; Помидор (томат), парниковый (Тушение): 70 г; Горчичное масло: 10 г; Соль поваренная пищевая: 2 г; Сыр голландский, брусковый, м.д.ж. 45% в сух. в-ве: 15 г; Бекон: 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632093," 1. Кабачок порезать соломкой, помидор кубиками, чеснок измельчить, бекон порезать полосками. ;  2. Разогреть в сковороде масло, обжарить бекон или грудинку, добавить чеснок, прогреть 1-2 минуты и добавить помидоры. Тушить 2-3 минуты, добавить кабачок и тушить на сильном огне , помешивая, 3-5 минут, посолить, добавить специи по вкусу, у меня перец чили и орегано. У кабачков должно остаться состояние альденте.                           ;  3. Выложить на тарелку и присыпать тертым сыром. Подавать горячим.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632055,Овощные блюда; Обычное блюдо,Лактоза,Обед; Ужин
Запеканка из  куриного филе с шампиньонами,95 кКал,16.9 г,1.9 г,2.2 г,"Куриная грудка (филе) (Запекание): 100 г; Шампиньоны (Тушение): 140 г; Соль поваренная пищевая: 2 г; Шпинат (Припускание): 5 г; Морковь (Припускание): 5 г; Морская капуста (ламинария) сушеная (Запекание): 1 г; Лук репчатый (Припускание): 30 г; Куркума, молотая: 0.5 г; Паприка, перец сладкий молотый: 0.5 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632095, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632096; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632097; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632098; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632099; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632100; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632101; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632104; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632105; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632106; https://health-diet.ru/people/user/683447/blog/345542/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Нет аллергенов,Ужин
Уха из лосося в мультиварке,53.2 кКал,4 г,2.9 г,2.7 г,"Лосось атлантический филе Норвежский свежий: 400 г; Лук репчатый (Мытьё, нарезка): 75 г; Морковь (Мытьё, нарезка): 75 г; Картофель (Варка без слива): 250 г; Помидор (томат), парниковый (Мытьё, нарезка): 150 г; Вода: 2000 г; Соль поваренная пищевая: 5 г; Петрушка сушеная: 2 г; Укроп, сушеный: 2 г; Перец черный,  молотый или горошек: 1 г; Чеснок (Мытьё, нарезка): 2 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632148," 1. Подготовить ингредиенты. Если используете суповой набор, то 650 грамм, потому что голова потом изымается. ;  2. Очистить рыбу от лишнего, положить в чашу. Овощи измельчить, положить в чашу. Посолить, поперчить, позеленить, залить горячей водой. Поставить режим суп 1 час. ;  3. За 10 минут до готовности добавить мелко нарезанный чеснок. По готовности, выбрать голову и другие несъедобные части рыбы.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632088; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632092; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632120,Русская Кухня; Блюда из морепродуктов,Нет аллергенов,Ужин
Чизкейк персик,61.5 кКал,7.6 г,1.1 г,5 г,"Нектарин: 210 г; Бисквит на чиз: 100 г; Желатин пищевой: 10 г; Вода: 50 г; Вода: 25 г; Вода: 150 г; Сыр и творог домашний нежирный, несолёный, м.д.ж. 3% в сух. в-ве: 180 г; Кефир обезжиренный (Запекание): 300 г; Желатин пищевой: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632121," 1. ЗАЛИТЬ ЖЕЛАТИН. Приготовить корж, остудить                           ;  2. Творог (я использовала в брикете)+кефир, сах пробить блендером, растопить желатин (10+50)смеш, залить на коржик, поставить в мороз пока не схватится                           ;  3. Мелко нарезать нектарины+вода 150мл, сахзам, потушить, пока не приготовится сиропчик. Остудить, добавить растопленый желатин(5+25), пробить блендером( не обязательно) залить на творожный слой, поставить в мороз до полного застывания.                            ",,Сладкие блюда,Лактоза,Неопределено
Вафельки для Ирины,196 кКал,15 г,4.6 г,22 г,"Творог 5% жирности (Запекание): 98 г; Мука полбяная: 80 г; Яйцо куриное (Запекание): 52 г; Кефир 2,5% жирности (Запекание): 50 г; Пищевая сода: 2 г; Ванилин: 1 г; Вода водопроводная, городская: 45 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632039," 1. В контейнер сложить творог, муку, разбить яйцо. ;  2. Добавть кефир, соду, ваниль. По желанию сахзам. Перемешать. ;  3. Готовое тесто ложкой выложить на электровафельницу ;  4. Предварительно на вафельницу распылить подсолнечное масло. ;  5. После щелчка, загорится лампочка. Когда она погаснет, приподнять крышку вафельницы. ;  6. Если цвет вафель устраивает снять, а если хочется более зажаристый ещё раз закрыть.                            ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632044; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632045; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632046; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632047; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632048; https://health-diet.ru/people/user/710840/blog/345587/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/633712; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/633717,Сладкие блюда,Яйцо,Завтрак
Салат из пекинской капусты с  перепелиным яйцом,84.1 кКал,3.5 г,6.4 г,2.8 г,"Пекинская капуста: 100 г; Лук зеленый (перо) (Мытьё, нарезка): 30 г; Соль поваренная пищевая: 1 г; Сметана 15% жирности: 30 г; Яйцо перепелиное (Варка): 20 г; Кунжут: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632322, 1.        ;  2.        ;  3.        ;  4.        ;  5.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632323; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632324; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632325; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632326; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632327; https://health-diet.ru/people/user/683447/blog/345608/#comments,Русская Кухня; Овощные блюда,Яйцо,Обед; Ужин
Салат из скумбрии,180.5 кКал,14.4 г,12.9 г,2.1 г,Скумбрия запечённая 20 июля 2023 г: 99 г; Сметана 15% жирности: 39 г; Сыр Лёгкий 35% [Брест Литовск]: 100 г; Лук зеленый (перо): 99 г; Соль поваренная пищевая: 4 г; Сметана 10% жирности: 61 г; Яйцо куриное вареное вкрутую: 141 г,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632438, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632439; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632440; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632441; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632442; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632443; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632444,Блюда из морепродуктов; Овощные блюда,Лактоза; Морепродукты; Яйцо,Обед; Ужин
Салат с рукколой креветками и лососем,148.3 кКал,10.4 г,10.5 г,2.6 г,"Руккола: 100 г; Авокадо: 70 г; Семга припущенная на двух маслах: 90 г; Семга с/с мурманская,филе,стейки: 30 г; Помидор (томат), грунтовый: 80 г; Креветки тигровые припущенные на двух маслах с чесноком для салата: 90 г; Каперсы, консервированные: 10 г; Маринад устричный с чесноком,имбирем ,соевым соусом и кунжутным маслом: 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632665," 1. Рукколу моем ,сушим ;  2. Поливаем соусом ;  3. Креветки припускаем с чесноком на двух маслах ;  4. Креветки ;  5. Авокадо ;  6. Лосось припущенный на двух маслах, лосось малосоленый ;  7. Помидоры черри ;  8. Каперсы ;  9. Приятного аппетита  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632666; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632667; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632669; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632670; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632671; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632672; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632673; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632674; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632675; https://health-diet.ru/people/user/667582/blog/345734/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/632752,Блюда из морепродуктов; Овощные блюда,Нет аллергенов,Обед; Ужин
